original_release_year,example_no,igdb_id,name,game_type,genres,themes,game_modes,platforms,thematic_fit_score,visibility_count_score,broad_candidate_for_archetype_annotation
1986,4,1066,Super Mario Bros.: The Lost Levels,Main Game,Adventure | Platform,Action,Multiplayer | Single player,Family Computer Disk System | Nintendo 3DS | Wii | Wii U,5.5,387.0,True
1986,5,4595,Arkanoid,Main Game,Arcade,Action | Science fiction,Multiplayer | Single player,Arcade,5.5,333.0,True
1986,6,2051,OutRun,Main Game,Arcade | Racing,Action | Non-fiction,Single player,Arcade | Sharp X68000,4.0,279.0,True
1986,7,26778,Alex Kidd in Miracle World,Main Game,Adventure | Hack and slash/Beat 'em up | Platform,Action | Fantasy,Single player,PlayStation 3 | Sega Master System/Mark III | Wii,5.5,204.0,True
1986,8,3663,Kid Icarus,Main Game,Adventure | Platform | Shooter,Action | Fantasy,Single player,Arcade | Family Computer Disk System | Nintendo Entertainment System | Wii | Wii U,5.5,195.0,True
1986,9,3055,Rampage,Main Game,Arcade | Hack and slash/Beat 'em up,Action | Science fiction,Multiplayer | Single player,Arcade,5.5,165.0,True
1986,10,205229,Dragon Warrior,Main Game,Adventure | Role-playing (RPG),Fantasy,Single player,Family Computer | MSX | MSX2 | Nintendo Entertainment System,5.5,105.0,True
1986,11,5560,Wonder Boy,Main Game,Arcade | Platform,Action,Multiplayer | Single player,Arcade,5.5,105.0,True
1986,12,12153,Ikari Warriors,Main Game,Arcade | Shooter,Action | Warfare,Co-operative | Multiplayer | Single player,Arcade | PlayStation 3 | PlayStation Portable,5.5,94.0,True
1986,13,3503,Gauntlet II,Main Game,Adventure | Arcade | Hack and slash/Beat 'em up,Action | Fantasy,Co-operative | Multiplayer | Single player,Amiga | Amstrad CPC | Arcade | Atari ST/STE | Commodore C64/128/MAX | DOS | Nintendo Entertainment System | ZX Spectrum,5.5,93.0,True
1986,14,1477,Salamander,Main Game,Arcade | Shooter,Action | Science fiction,Co-operative | Single player | Split screen,Arcade | Sharp X68000,5.5,87.0,True
1986,15,1873,Defender of the Crown,Main Game,Adventure | Strategy,Fantasy | Historical,Single player,Amiga | Amstrad CPC | Apple IIGS | Atari ST/STE | Commodore C64/128/MAX | Commodore CDTV | DOS | Legacy Computer | Linux | Mac | PC (Microsoft Windows) | Philips CD-i | ZX Spectrum | iOS,4.0,87.0,True
1987,1,1025,Zelda II: The Adventure of Link,Main Game,Adventure | Platform | Role-playing (RPG),Action | Fantasy,Single player,Family Computer Disk System | Nintendo 3DS | Nintendo Entertainment System | Wii | Wii U,5.5,900.0,True
1987,2,1714,Mega Man,Main Game,Platform | Shooter,Action | Science fiction,Single player,Family Computer | Nintendo 3DS | Nintendo Entertainment System | Wii | Wii U,5.5,873.0,True
1987,3,4598,Contra,Main Game,Arcade | Platform | Shooter,Action | Science fiction | Warfare,Co-operative | Multiplayer | Single player,Arcade,5.5,789.0,True
1987,4,385,Final Fantasy,Main Game,Adventure | Role-playing (RPG),Action | Fantasy | Kids,Single player,Family Computer | Nintendo 3DS | Nintendo Entertainment System | Wii | Wii U,5.5,772.0,True
1987,5,6787,Double Dragon,Main Game,Adventure | Arcade | Fighting | Hack and slash/Beat 'em up,Action,Co-operative | Multiplayer | Single player,Arcade | Xbox 360,5.5,507.0,True
