population,scheme,decade,archetype,share_pct
all_rows_missing_visibility_equal,log_reviews,2000s,Innocent,1.7180277298622904
all_rows_missing_visibility_equal,log_reviews,2000s,Jester/Trickster,3.5272073151264003
all_rows_missing_visibility_equal,log_reviews,2000s,Lover,2.4589127020000996
all_rows_missing_visibility_equal,log_reviews,2000s,Magician/Transformer,5.219554012027009
all_rows_missing_visibility_equal,log_reviews,2000s,Rebel/Outlaw,5.756685118997264
all_rows_missing_visibility_equal,log_reviews,2000s,Ruler/Leader,6.865548329244005
all_rows_missing_visibility_equal,log_reviews,2000s,Sage/Investigator,9.34603834395755
all_rows_missing_visibility_equal,log_reviews,2000s,Uncertain,2.5851928925391228
all_rows_missing_visibility_equal,log_reviews,2010s,Caregiver/Guardian,2.3732449480875584
all_rows_missing_visibility_equal,log_reviews,2010s,Creator/Artist,4.399248025894204
all_rows_missing_visibility_equal,log_reviews,2010s,Everyman/Orphan,9.885177968269993
all_rows_missing_visibility_equal,log_reviews,2010s,Explorer/Seeker,19.95330435226409
all_rows_missing_visibility_equal,log_reviews,2010s,Hero/Warrior,21.376973803448067
all_rows_missing_visibility_equal,log_reviews,2010s,Innocent,2.310542613433718
all_rows_missing_visibility_equal,log_reviews,2010s,Jester/Trickster,5.684345456947317
all_rows_missing_visibility_equal,log_reviews,2010s,Lover,3.1812062284741414
all_rows_missing_visibility_equal,log_reviews,2010s,Magician/Transformer,5.336280052838663
all_rows_missing_visibility_equal,log_reviews,2010s,Rebel/Outlaw,7.28252408671881
all_rows_missing_visibility_equal,log_reviews,2010s,Ruler/Leader,5.620525716456772
all_rows_missing_visibility_equal,log_reviews,2010s,Sage/Investigator,8.194901274280067
all_rows_missing_visibility_equal,log_reviews,2010s,Uncertain,4.401725472886597
all_rows_missing_visibility_equal,log_reviews,2020s,Caregiver/Guardian,2.9858675840737354
all_rows_missing_visibility_equal,log_reviews,2020s,Creator/Artist,5.000940414179644
all_rows_missing_visibility_equal,log_reviews,2020s,Everyman/Orphan,11.696217393629516
all_rows_missing_visibility_equal,log_reviews,2020s,Explorer/Seeker,22.7226777793655
all_rows_missing_visibility_equal,log_reviews,2020s,Hero/Warrior,19.152100284616576
all_rows_missing_visibility_equal,log_reviews,2020s,Innocent,2.251651025222425
all_rows_missing_visibility_equal,log_reviews,2020s,Jester/Trickster,4.510601938616619
all_rows_missing_visibility_equal,log_reviews,2020s,Lover,3.49008703624259
all_rows_missing_visibility_equal,log_reviews,2020s,Magician/Transformer,5.466546333791982
all_rows_missing_visibility_equal,log_reviews,2020s,Rebel/Outlaw,6.363526914893743
all_rows_missing_visibility_equal,log_reviews,2020s,Ruler/Leader,5.1145006874498735
all_rows_missing_visibility_equal,log_reviews,2020s,Sage/Investigator,7.054023229145895
all_rows_missing_visibility_equal,log_reviews,2020s,Uncertain,4.191259378771897
all_rows_missing_visibility_equal,raw_cap_p99,1980s,Caregiver/Guardian,2.605377454288573
all_rows_missing_visibility_equal,raw_cap_p99,1980s,Creator/Artist,2.704261092654959
all_rows_missing_visibility_equal,raw_cap_p99,1980s,Everyman/Orphan,5.470717371117173
all_rows_missing_visibility_equal,raw_cap_p99,1980s,Explorer/Seeker,25.184784146598624
all_rows_missing_visibility_equal,raw_cap_p99,1980s,Hero/Warrior,33.07784107164326
all_rows_missing_visibility_equal,raw_cap_p99,1980s,Innocent,0.7010816477351864
all_rows_missing_visibility_equal,raw_cap_p99,1980s,Jester/Trickster,4.9448514101405765
all_rows_missing_visibility_equal,raw_cap_p99,1980s,Lover,2.948514486956087
all_rows_missing_visibility_equal,raw_cap_p99,1980s,Magician/Transformer,5.840056354974145
all_rows_missing_visibility_equal,raw_cap_p99,1980s,Rebel/Outlaw,3.0727847895573834
all_rows_missing_visibility_equal,raw_cap_p99,1980s,Ruler/Leader,4.425416302649511
all_rows_missing_visibility_equal,raw_cap_p99,1980s,Sage/Investigator,9.18351612180635
all_rows_missing_visibility_equal,raw_cap_p99,1980s,Uncertain,3.352828908922261
all_rows_missing_visibility_equal,raw_cap_p99,1990s,Caregiver/Guardian,0.49273403357098394
all_rows_missing_visibility_equal,raw_cap_p99,1990s,Creator/Artist,0.7272870056090911
all_rows_missing_visibility_equal,raw_cap_p99,1990s,Everyman/Orphan,7.0569618267631125
